time_of_day,day_type,season,weather,visibility,road_type,road_curvature,junction,traffic_density,avg_speed,heavy_vehicle_presence,lighting,road_condition,accident_occured
night,weekend,summer,heavy_rain,medium,urban,moderate,1,low,64,0,good,dry,1
afternoon,weekend,summer,rain,poor,highway,sharp,1,medium,58,1,good,wet,0
night,weekday,winter,cloudy,good,rural,straight,1,low,23,0,poor,dry,0
evening,weekday,winter,fog,medium,highway,straight,0,medium,35,0,poor,wet,0
afternoon,weekend,winter,rain,good,urban,moderate,0,low,42,0,good,dry,0
afternoon,weekday,summer,cloudy,good,highway,sharp,0,low,34,0,poor,dry,0
afternoon,weekend,winter,rain,poor,highway,moderate,1,medium,22,0,good,wet,0
night,weekend,monsoon,rain,poor,rural,straight,0,low,79,1,good,damaged,0
night,weekend,winter,fog,poor,highway,moderate,0,high,68,1,good,wet,1
morning,weekend,winter,clear,medium,highway,straight,0,low,45,0,poor,damaged,0
evening,weekend,winter,fog,good,highway,straight,1,low,42,0,good,dry,0
night,weekday,winter,clear,good,urban,sharp,1,medium,53,0,poor,wet,1
morning,weekday,winter,heavy_rain,medium,highway,moderate,1,high,83,0,good,dry,1
evening,weekday,winter,cloudy,poor,urban,moderate,0,high,48,1,good,dry,0
evening,weekday,monsoon,clear,medium,urban,sharp,0,high,76,0,poor,dry,0
night,weekday,monsoon,rain,poor,rural,moderate,1,high,75,1,good,damaged,1
afternoon,weekday,summer,cloudy,good,highway,moderate,0,medium,81,0,good,wet,0
afternoon,weekend,winter,rain,medium,rural,moderate,0,low,65,0,good,wet,1
morning,weekday,winter,rain,good,highway,straight,0,medium,31,0,poor,dry,0
night,weekend,winter,cloudy,poor,highway,moderate,0,low,65,1,poor,dry,0
morning,weekend,summer,fog,good,rural,straight,1,medium,24,1,good,wet,0
night,weekend,monsoon,heavy_rain,good,urban,sharp,1,low,86,0,good,damaged,1
afternoon,weekday,winter,rain,medium,highway,sharp,1,medium,81,0,good,wet,0
evening,weekend,monsoon,clear,medium,rural,straight,1,low,54,0,poor,dry,1
night,weekday,winter,clear,medium,highway,straight,1,low,37,0,good,damaged,1
evening,weekday,summer,heavy_rain,poor,urban,straight,0,medium,44,1,good,dry,0
night,weekday,monsoon,fog,poor,highway,sharp,1,low,38,1,poor,wet,0
morning,weekday,summer,heavy_rain,good,urban,sharp,0,high,69,0,poor,dry,0
morning,weekday,winter,heavy_rain,good,urban,moderate,0,medium,68,1,good,wet,1
night,weekend,monsoon,rain,medium,rural,straight,1,high,52,1,poor,dry,1
morning,weekday,monsoon,cloudy,good,rural,moderate,0,medium,24,0,good,dry,0
morning,weekday,summer,rain,medium,rural,sharp,1,medium,88,0,poor,damaged,1
morning,weekday,winter,cloudy,good,urban,straight,0,high,22,0,good,dry,0
evening,weekend,summer,heavy_rain,good,urban,straight,0,medium,25,1,good,wet,1
night,weekend,summer,cloudy,poor,urban,sharp,1,high,72,1,poor,wet,1
evening,weekend,monsoon,clear,poor,urban,straight,1,low,22,1,good,wet,0
morning,weekend,monsoon,rain,good,rural,straight,1,low,63,1,good,dry,0
evening,weekend,winter,fog,medium,rural,sharp,1,medium,25,1,poor,dry,1
afternoon,weekend,monsoon,heavy_rain,good,rural,sharp,0,medium,47,0,good,wet,0
afternoon,weekday,summer,fog,medium,urban,straight,1,low,22,1,poor,wet,1
afternoon,weekend,winter,cloudy,good,highway,sharp,0,low,57,0,good,dry,0
evening,weekday,winter,cloudy,medium,highway,straight,1,high,89,0,good,wet,0
morning,weekend,winter,cloudy,good,highway,moderate,0,high,40,1,poor,dry,0
morning,weekday,monsoon,clear,medium,highway,straight,0,medium,23,0,good,dry,0
evening,weekday,summer,cloudy,medium,urban,sharp,0,low,72,0,good,damaged,0
morning,weekday,summer,heavy_rain,good,urban,moderate,0,low,41,1,good,wet,0
evening,weekday,summer,cloudy,good,highway,moderate,1,low,50,0,poor,damaged,1
afternoon,weekend,winter,rain,medium,highway,straight,1,high,52,1,poor,dry,0
afternoon,weekend,monsoon,fog,poor,rural,sharp,1,high,52,0,poor,damaged,0
evening,weekday,monsoon,cloudy,medium,urban,moderate,0,high,85,1,poor,damaged,0
evening,weekday,monsoon,cloudy,good,rural,sharp,1,high,79,0,poor,dry,1
afternoon,weekday,monsoon,rain,good,highway,straight,1,high,84,0,poor,dry,0
afternoon,weekday,winter,clear,good,highway,straight,0,low,55,1,good,dry,0
evening,weekday,summer,cloudy,medium,rural,straight,1,low,54,0,good,wet,0
night,weekend,summer,cloudy,poor,highway,sharp,0,medium,88,0,good,dry,1
morning,weekend,summer,fog,good,rural,straight,1,high,42,0,poor,wet,0
evening,weekday,summer,cloudy,poor,highway,straight,0,medium,66,1,good,wet,0
evening,weekend,summer,fog,poor,highway,sharp,0,high,87,0,good,wet,1
morning,weekday,monsoon,cloudy,poor,rural,straight,0,medium,39,0,poor,damaged,0
morning,weekday,winter,heavy_rain,poor,urban,straight,1,high,85,0,good,wet,0
morning,weekend,summer,cloudy,good,highway,straight,1,medium,48,1,poor,dry,0
evening,weekday,winter,fog,poor,highway,moderate,1,low,77,1,poor,damaged,0
morning,weekend,summer,cloudy,medium,urban,straight,0,medium,24,0,poor,wet,0
evening,weekday,winter,cloudy,medium,urban,sharp,1,high,88,1,poor,dry,1
afternoon,weekend,winter,fog,medium,urban,moderate,0,medium,64,0,good,wet,0
morning,weekday,summer,cloudy,poor,urban,sharp,0,high,26,0,good,damaged,0
morning,weekend,summer,cloudy,poor,urban,straight,1,high,45,0,good,damaged,0
afternoon,weekday,monsoon,rain,good,rural,moderate,1,high,20,0,poor,wet,0
afternoon,weekend,monsoon,fog,medium,urban,sharp,1,low,77,0,poor,damaged,0
afternoon,weekend,monsoon,heavy_rain,poor,urban,sharp,0,medium,53,0,poor,wet,1
afternoon,weekday,summer,fog,medium,urban,straight,0,low,84,1,good,wet,0
night,weekend,winter,clear,medium,rural,straight,1,medium,48,0,good,wet,0
evening,weekday,monsoon,heavy_rain,good,highway,straight,1,medium,48,1,good,dry,0
evening,weekday,monsoon,rain,good,urban,straight,0,low,84,1,poor,wet,1
morning,weekend,monsoon,heavy_rain,poor,urban,moderate,1,high,57,1,poor,dry,0
night,weekend,winter,cloudy,poor,urban,moderate,1,high,34,1,poor,dry,0
morning,weekday,monsoon,fog,poor,urban,sharp,1,high,44,0,poor,damaged,0
morning,weekday,summer,cloudy,good,urban,straight,0,high,27,0,poor,wet,0
night,weekday,monsoon,cloudy,poor,highway,sharp,1,medium,58,0,good,wet,0
afternoon,weekday,monsoon,cloudy,medium,rural,straight,1,low,54,1,good,wet,0
morning,weekend,monsoon,fog,medium,highway,sharp,0,high,46,0,poor,wet,0
night,weekday,monsoon,cloudy,good,urban,sharp,0,medium,51,0,good,dry,0
morning,weekend,monsoon,clear,poor,highway,moderate,1,high,45,0,good,damaged,0
night,weekend,winter,clear,medium,rural,sharp,1,medium,75,0,poor,dry,0
night,weekend,summer,cloudy,medium,rural,straight,0,medium,28,1,poor,wet,0
afternoon,weekend,winter,clear,good,urban,straight,1,medium,59,0,poor,wet,0
evening,weekend,winter,rain,medium,highway,straight,0,high,41,0,poor,wet,0
afternoon,weekend,winter,fog,good,rural,straight,0,medium,30,0,poor,dry,0
evening,weekend,summer,rain,poor,urban,sharp,0,high,85,0,poor,damaged,1
morning,weekend,summer,heavy_rain,good,rural,sharp,1,high,80,0,good,wet,0
morning,weekend,monsoon,fog,poor,urban,sharp,1,high,88,1,poor,dry,1
night,weekend,winter,fog,medium,urban,moderate,1,high,36,0,good,dry,1
afternoon,weekend,monsoon,rain,medium,highway,sharp,1,high,43,1,poor,damaged,1
morning,weekend,winter,clear,medium,highway,moderate,1,high,49,1,poor,damaged,1
evening,weekend,monsoon,fog,medium,urban,straight,1,low,41,1,good,damaged,1
evening,weekend,summer,cloudy,medium,rural,sharp,0,high,68,0,good,wet,0
night,weekday,monsoon,rain,poor,highway,moderate,0,low,58,1,poor,damaged,0
evening,weekend,monsoon,fog,medium,rural,straight,1,high,50,1,poor,dry,0
